OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2886,2015/01/29 16:00:00+00,BG,Bangu,O3,Regular,88
2887,2015/01/29 16:00:00+00,CG,Campo Grande,O3,Boa,45
2888,2015/01/29 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,75
2889,2015/01/30 16:00:00+00,CA,Centro,O3,Regular,53
2890,2015/01/30 16:00:00+00,AV,Copacabana,PI,Regular,56
2891,2015/01/30 16:00:00+00,SC,São Cristóvão,O3,Regular,76
2892,2015/01/30 16:00:00+00,SP,Tijuca,O3,Regular,69
2893,2015/01/30 16:00:00+00,IR,Irajá,O3,Regular,59
2894,2015/01/30 16:00:00+00,BG,Bangu,O3,Regular,67
2895,2015/01/30 16:00:00+00,CG,Campo Grande,O3,Boa,45
2896,2015/01/30 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64
2897,2015/01/31 16:00:00+00,AV,Copacabana,PI,Boa,41
2898,2015/01/31 16:00:00+00,SC,São Cristóvão,O3,Boa,45
2899,2015/01/31 16:00:00+00,SP,Tijuca,O3,Boa,48
2900,2015/01/31 16:00:00+00,IR,Irajá,O3,Regular,64
2901,2015/01/31 16:00:00+00,CA,Centro,O3,Boa,34
2902,2015/01/31 16:00:00+00,BG,Bangu,O3,Boa,46
2903,2015/01/31 16:00:00+00,CG,Campo Grande,O3,Boa,29
2904,2015/01/31 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,48
2905,2015/02/01 16:00:00+00,CA,Centro,O3,Regular,51
2906,2015/02/01 16:00:00+00,AV,Copacabana,PI,Boa,42
2907,2015/02/01 16:00:00+00,SC,São Cristóvão,O3,Regular,62
2908,2015/02/01 16:00:00+00,SP,Tijuca,O3,Regular,67
2909,2015/02/01 16:00:00+00,IR,Irajá,O3,Regular,76
2910,2015/02/01 16:00:00+00,BG,Bangu,O3,Boa,50
2911,2015/02/01 16:00:00+00,CG,Campo Grande,O3,Boa,33
2912,2015/02/01 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,53
2913,2015/02/02 16:00:00+00,CA,Centro,O3,Boa,46
2914,2015/02/02 16:00:00+00,AV,Copacabana,PI,Boa,48
2915,2015/02/02 16:00:00+00,SC,São Cristóvão,O3,Boa,49
2916,2015/02/02 16:00:00+00,SP,Tijuca,O3,Boa,48
2917,2015/02/02 16:00:00+00,IR,Irajá,O3,Regular,55
2918,2015/02/02 16:00:00+00,BG,Bangu,O3,Boa,48
2919,2015/02/02 16:00:00+00,CG,Campo Grande,O3,Boa,31
2920,2015/02/02 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,43
2921,2015/02/03 16:00:00+00,CA,Centro,O3,Regular,51
2922,2015/02/03 16:00:00+00,AV,Copacabana,O3,Regular,57
2923,2015/02/03 16:00:00+00,SC,São Cristóvão,O3,Regular,64
2924,2015/02/03 16:00:00+00,SP,Tijuca,O3,Regular,72
2925,2015/02/03 16:00:00+00,IR,Irajá,O3,Regular,87
2926,2015/02/03 16:00:00+00,BG,Bangu,O3,Regular,55
2927,2015/02/03 16:00:00+00,CG,Campo Grande,NO2,Boa,33
2928,2015/02/03 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,56
2929,2015/02/04 16:00:00+00,CA,Centro,O3,Boa,45
2930,2015/02/04 16:00:00+00,AV,Copacabana,O3,Regular,52
2931,2015/02/04 16:00:00+00,SC,São Cristóvão,O3,Regular,62
2932,2015/02/04 16:00:00+00,SP,Tijuca,O3,Regular,67
2933,2015/02/04 16:00:00+00,IR,Irajá,O3,Regular,74
2934,2015/02/04 16:00:00+00,BG,Bangu,O3,Regular,68
2935,2015/02/04 16:00:00+00,CG,Campo Grande,O3,Boa,45
2936,2015/02/04 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,80
2937,2015/02/05 16:00:00+00,CA,Centro,PI,Boa,26
2938,2015/02/05 16:00:00+00,AV,Copacabana,PI,Boa,41
2939,2015/02/05 16:00:00+00,SC,São Cristóvão,O3,Regular,54
2940,2015/02/05 16:00:00+00,SP,Tijuca,O3,Regular,55
2941,2015/02/05 16:00:00+00,IR,Irajá,O3,Regular,56
2942,2015/02/05 16:00:00+00,BG,Bangu,O3,Regular,57
2943,2015/02/05 16:00:00+00,CG,Campo Grande,O3,Boa,42
2944,2015/02/05 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,78
2945,2015/02/06 16:00:00+00,CA,Centro,PI,Boa,27
2946,2015/02/06 16:00:00+00,AV,Copacabana,PI,Boa,40
2947,2015/02/06 16:00:00+00,SC,São Cristóvão,O3,Boa,31
2948,2015/02/06 16:00:00+00,SP,Tijuca,NO2,Boa,32
2949,2015/02/06 16:00:00+00,IR,Irajá,NO2,Boa,36
2950,2015/02/06 16:00:00+00,BG,Bangu,O3,Boa,32
2951,2015/02/06 16:00:00+00,CG,Campo Grande,NO2,Boa,25
2952,2015/02/06 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,37
